activity_number,activity_name,activity_hierarchy,activity_name_normalized,duration_days,profile_days_used,asset_candidate_count,review_priority,outlier_flags,candidate_slot,generated_asset_type,generated_confidence,generated_role,generated_estimated_hours,generated_profile_shape,reviewed_asset_type,reviewed_confidence,reviewed_confidence_tier,reviewed_role,reviewed_estimated_hours,reviewed_profile_shape,reviewed_is_required,label_estimated_hours,review_status,changed_fields,review_source
1177,Install services,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 3 ~ 2,200m2 PODIUM > Zone B",install services,2,2,3,high,,2,hoist,0.2,incidental,1.5,uniform,hoist,0.2,low,incidental,1.5,uniform,True,1.5,accepted,,manual_first_pass
1177,Install services,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 3 ~ 2,200m2 PODIUM > Zone B",install services,2,2,3,high,,3,forklift,0.15,incidental,1.0,uniform,forklift,0.15,low,incidental,1.0,uniform,True,1.0,accepted,,manual_first_pass
1180,Concrete pour floor slab and Columns Zone [B] pour (1),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 3 ~ 2,200m2 PODIUM > Zone B",concrete pour floor slab and columns zone pour,4,4,2,high,,1,concrete_pump,0.95,lead,32.5,back_loaded,concrete_pump,0.95,high,lead,32.5,back_loaded,True,32.5,accepted,,manual_first_pass
1180,Concrete pour floor slab and Columns Zone [B] pour (1),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 3 ~ 2,200m2 PODIUM > Zone B",concrete pour floor slab and columns zone pour,4,4,2,high,,2,telehandler,0.2,incidental,2.0,back_loaded,telehandler,0.2,low,incidental,2.0,back_loaded,True,2.0,accepted,,manual_first_pass
1181,Concrete pour floor slab and Columns Zone [B] pour (2),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 3 ~ 2,200m2 PODIUM > Zone B",concrete pour floor slab and columns zone pour,1,1,2,high,,1,concrete_pump,0.95,lead,8.0,single_day,concrete_pump,0.95,high,lead,8.0,single_day,True,8.0,accepted,,manual_first_pass
1181,Concrete pour floor slab and Columns Zone [B] pour (2),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 3 ~ 2,200m2 PODIUM > Zone B",concrete pour floor slab and columns zone pour,1,1,2,high,,2,telehandler,0.2,incidental,0.5,single_day,telehandler,0.2,low,incidental,0.5,single_day,True,0.5,accepted,,manual_first_pass
1192,Day 3 - Pour columns to pour 1,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 4 ~ 1,400m2",pour columns to pour,1,1,2,high,,1,concrete_pump,0.95,lead,8.0,single_day,concrete_pump,0.95,high,lead,8.0,single_day,True,8.0,accepted,,manual_first_pass
1192,Day 3 - Pour columns to pour 1,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 4 ~ 1,400m2",pour columns to pour,1,1,2,high,,2,telehandler,0.2,incidental,0.5,single_day,telehandler,0.2,low,incidental,0.5,single_day,True,0.5,accepted,,manual_first_pass
1198,Day 5 - Pour columns pour 2,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 4 ~ 1,400m2",pour columns pour,1,1,2,high,,1,concrete_pump,0.95,lead,8.0,single_day,concrete_pump,0.95,high,lead,8.0,single_day,True,8.0,accepted,,manual_first_pass
1198,Day 5 - Pour columns pour 2,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 4 ~ 1,400m2",pour columns pour,1,1,2,high,,2,telehandler,0.2,incidental,0.5,single_day,telehandler,0.2,low,incidental,0.5,single_day,True,0.5,accepted,,manual_first_pass
1200,"Day 5 - Dog box works, caulking panels","ON SITE WORKS > SUPERSTRUCTURE > LEVEL 4 ~ 1,400m2","dog box works, caulking panels",1,1,2,high,multi_lead_activity,1,ewp,0.7,lead,5.0,single_day,ewp,0.7,medium,lead,5.0,single_day,True,5.0,accepted,,manual_first_pass
1200,"Day 5 - Dog box works, caulking panels","ON SITE WORKS > SUPERSTRUCTURE > LEVEL 4 ~ 1,400m2","dog box works, caulking panels",1,1,2,high,multi_lead_activity,2,crane,0.65,lead,2.5,single_day,crane,1.0,high,lead,2.5,single_day,True,2.5,corrected,confidence,manual_first_pass
1202,Day 6 - Complete dog box works – caulking panels,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 4 ~ 1,400m2",complete dog box works – caulking panels,1,1,2,high,multi_lead_activity,1,ewp,0.7,lead,5.0,single_day,ewp,0.7,medium,lead,5.0,single_day,True,5.0,accepted,,manual_first_pass
1202,Day 6 - Complete dog box works – caulking panels,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 4 ~ 1,400m2",complete dog box works – caulking panels,1,1,2,high,multi_lead_activity,2,crane,0.65,lead,2.5,single_day,crane,0.65,medium,lead,2.5,single_day,True,2.5,accepted,,manual_first_pass
1204,Day 6 - Complete levelling pour 1,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 4 ~ 1,400m2",complete levelling pour,1,1,2,high,,1,concrete_pump,0.95,lead,8.0,single_day,concrete_pump,0.95,high,lead,8.0,single_day,True,8.0,accepted,,manual_first_pass
1204,Day 6 - Complete levelling pour 1,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 4 ~ 1,400m2",complete levelling pour,1,1,2,high,,2,telehandler,0.2,incidental,0.5,single_day,telehandler,0.2,low,incidental,0.5,single_day,True,0.5,accepted,,manual_first_pass
1206,Day 7 - Complete levelling pour 2 (2 men),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 4 ~ 1,400m2",complete levelling pour,1,1,2,high,,1,concrete_pump,0.95,lead,8.0,single_day,concrete_pump,0.95,high,lead,8.0,single_day,True,8.0,accepted,,manual_first_pass
1206,Day 7 - Complete levelling pour 2 (2 men),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 4 ~ 1,400m2",complete levelling pour,1,1,2,high,,2,telehandler,0.2,incidental,0.5,single_day,telehandler,0.2,low,incidental,0.5,single_day,True,0.5,accepted,,manual_first_pass
1208,Day 8 - Commence shelf angle and sealing deck (2 men),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 4 ~ 1,400m2",commence shelf angle and sealing deck,1,1,2,high,multi_lead_activity,1,ewp,0.7,lead,5.0,single_day,ewp,0.7,medium,lead,5.0,single_day,True,5.0,accepted,,manual_first_pass
1208,Day 8 - Commence shelf angle and sealing deck (2 men),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 4 ~ 1,400m2",commence shelf angle and sealing deck,1,1,2,high,multi_lead_activity,2,crane,0.65,lead,2.5,single_day,crane,0.65,medium,lead,2.5,single_day,True,2.5,accepted,,manual_first_pass
1210,Day 9 - Reo delivery first thing,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 4 ~ 1,400m2",reo delivery first thing,1,1,4,high,four_asset_activity,1,loading_bay,0.85,lead,4.0,single_day,loading_bay,0.85,high,lead,4.0,single_day,True,4.0,accepted,,manual_first_pass
1210,Day 9 - Reo delivery first thing,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 4 ~ 1,400m2",reo delivery first thing,1,1,4,high,four_asset_activity,2,forklift,0.7,support,2.0,single_day,forklift,0.8,high,support,4.0,single_day,True,4.0,corrected,confidence|estimated_hours,manual_first_pass
1210,Day 9 - Reo delivery first thing,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 4 ~ 1,400m2",reo delivery first thing,1,1,4,high,four_asset_activity,3,crane,0.35,support,2.0,single_day,crane,0.8,high,support,2.0,single_day,True,2.0,corrected,confidence,manual_first_pass
1210,Day 9 - Reo delivery first thing,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 4 ~ 1,400m2",reo delivery first thing,1,1,4,high,four_asset_activity,4,telehandler,0.3,incidental,1.0,single_day,telehandler,0.0,,incidental,1.0,single_day,False,0.0,dropped,confidence,manual_first_pass
1213,Day 9 - Continue shelf angle and sealing deck (2 men),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 4 ~ 1,400m2",continue shelf angle and sealing deck,1,1,2,high,multi_lead_activity,1,ewp,0.7,lead,5.0,single_day,ewp,0.7,medium,lead,5.0,single_day,True,5.0,accepted,,manual_first_pass
1213,Day 9 - Continue shelf angle and sealing deck (2 men),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 4 ~ 1,400m2",continue shelf angle and sealing deck,1,1,2,high,multi_lead_activity,2,crane,0.65,lead,2.5,single_day,crane,0.65,medium,lead,2.5,single_day,True,2.5,accepted,,manual_first_pass
1216,"Day 10 - Complete shelf angle and sealing deck, and pre pour works (6 men)","ON SITE WORKS > SUPERSTRUCTURE > LEVEL 4 ~ 1,400m2","complete shelf angle and sealing deck, and pre pour works",2,2,2,high,multi_lead_activity,1,ewp,0.7,lead,10.0,uniform,ewp,0.7,medium,lead,10.0,uniform,True,10.0,accepted,,manual_first_pass
1216,"Day 10 - Complete shelf angle and sealing deck, and pre pour works (6 men)","ON SITE WORKS > SUPERSTRUCTURE > LEVEL 4 ~ 1,400m2","complete shelf angle and sealing deck, and pre pour works",2,2,2,high,multi_lead_activity,2,crane,0.65,lead,5.0,uniform,crane,0.65,medium,lead,5.0,uniform,True,5.0,accepted,,manual_first_pass
1219,"Day 11 - Slab pour, pour 1","ON SITE WORKS > SUPERSTRUCTURE > LEVEL 4 ~ 1,400m2","slab pour, pour",1,1,2,high,,1,concrete_pump,0.95,lead,8.0,single_day,concrete_pump,0.95,high,lead,8.0,single_day,True,8.0,accepted,,manual_first_pass
1219,"Day 11 - Slab pour, pour 1","ON SITE WORKS > SUPERSTRUCTURE > LEVEL 4 ~ 1,400m2","slab pour, pour",1,1,2,high,,2,telehandler,0.2,incidental,0.5,single_day,telehandler,0.0,,incidental,0.5,single_day,False,0.0,dropped,confidence,manual_first_pass
1220,"Day 12 - Slab pour, pour 2","ON SITE WORKS > SUPERSTRUCTURE > LEVEL 4 ~ 1,400m2","slab pour, pour",1,1,2,high,,1,concrete_pump,0.95,lead,8.0,single_day,concrete_pump,0.95,high,lead,8.0,single_day,True,8.0,accepted,,manual_first_pass
1220,"Day 12 - Slab pour, pour 2","ON SITE WORKS > SUPERSTRUCTURE > LEVEL 4 ~ 1,400m2","slab pour, pour",1,1,2,high,,2,telehandler,0.2,incidental,0.5,single_day,telehandler,0.2,low,incidental,0.5,single_day,True,0.5,accepted,,manual_first_pass
1231,Day 3 - Pour columns to pour 1,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 5 ~ 1,400m2",pour columns to pour,1,1,2,high,,1,concrete_pump,0.95,lead,8.0,single_day,concrete_pump,0.95,high,lead,8.0,single_day,True,8.0,accepted,,manual_first_pass
1231,Day 3 - Pour columns to pour 1,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 5 ~ 1,400m2",pour columns to pour,1,1,2,high,,2,telehandler,0.2,incidental,0.5,single_day,telehandler,0.2,low,incidental,0.5,single_day,True,0.5,accepted,,manual_first_pass
1237,Day 5 - Pour columns pour 2,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 5 ~ 1,400m2",pour columns pour,1,1,2,high,,1,concrete_pump,0.95,lead,8.0,single_day,concrete_pump,0.95,high,lead,8.0,single_day,True,8.0,accepted,,manual_first_pass
1237,Day 5 - Pour columns pour 2,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 5 ~ 1,400m2",pour columns pour,1,1,2,high,,2,telehandler,0.2,incidental,0.5,single_day,telehandler,0.2,low,incidental,0.5,single_day,True,0.5,accepted,,manual_first_pass
1239,"Day 5 - Dog box works, caulking panels","ON SITE WORKS > SUPERSTRUCTURE > LEVEL 5 ~ 1,400m2","dog box works, caulking panels",1,1,2,high,multi_lead_activity,1,ewp,0.7,lead,5.0,single_day,ewp,0.7,medium,lead,5.0,single_day,True,5.0,accepted,,manual_first_pass
1239,"Day 5 - Dog box works, caulking panels","ON SITE WORKS > SUPERSTRUCTURE > LEVEL 5 ~ 1,400m2","dog box works, caulking panels",1,1,2,high,multi_lead_activity,2,crane,0.65,lead,2.5,single_day,crane,0.65,medium,lead,2.5,single_day,True,2.5,accepted,,manual_first_pass
1241,Day 6 - Complete dog box works – caulking panels,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 5 ~ 1,400m2",complete dog box works – caulking panels,1,1,2,high,multi_lead_activity,1,ewp,0.7,lead,5.0,single_day,ewp,0.7,medium,lead,5.0,single_day,True,5.0,accepted,,manual_first_pass
1241,Day 6 - Complete dog box works – caulking panels,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 5 ~ 1,400m2",complete dog box works – caulking panels,1,1,2,high,multi_lead_activity,2,crane,0.65,lead,2.5,single_day,crane,0.65,medium,lead,2.5,single_day,True,2.5,accepted,,manual_first_pass
1243,Day 6 - Complete levelling pour 1,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 5 ~ 1,400m2",complete levelling pour,1,1,2,high,,1,concrete_pump,0.95,lead,8.0,single_day,concrete_pump,0.95,high,lead,8.0,single_day,True,8.0,accepted,,manual_first_pass
1243,Day 6 - Complete levelling pour 1,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 5 ~ 1,400m2",complete levelling pour,1,1,2,high,,2,telehandler,0.2,incidental,0.5,single_day,telehandler,0.2,low,incidental,0.5,single_day,True,0.5,accepted,,manual_first_pass
1245,Day 7 - Complete levelling pour 2 (2 men),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 5 ~ 1,400m2",complete levelling pour,1,1,2,high,,1,concrete_pump,0.95,lead,8.0,single_day,concrete_pump,0.95,high,lead,8.0,single_day,True,8.0,accepted,,manual_first_pass
1245,Day 7 - Complete levelling pour 2 (2 men),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 5 ~ 1,400m2",complete levelling pour,1,1,2,high,,2,telehandler,0.2,incidental,0.5,single_day,telehandler,0.2,low,incidental,0.5,single_day,True,0.5,accepted,,manual_first_pass
1247,Day 8 - Commence shelf angle and sealing deck (2 men),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 5 ~ 1,400m2",commence shelf angle and sealing deck,1,1,2,high,multi_lead_activity,1,ewp,0.7,lead,5.0,single_day,ewp,0.7,medium,lead,5.0,single_day,True,5.0,accepted,,manual_first_pass
1247,Day 8 - Commence shelf angle and sealing deck (2 men),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 5 ~ 1,400m2",commence shelf angle and sealing deck,1,1,2,high,multi_lead_activity,2,crane,0.65,lead,2.5,single_day,crane,0.65,medium,lead,2.5,single_day,True,2.5,accepted,,manual_first_pass
1249,Day 9 - Reo delivery first thing,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 5 ~ 1,400m2",reo delivery first thing,1,1,4,high,four_asset_activity,1,loading_bay,0.85,lead,4.0,single_day,loading_bay,0.85,high,lead,4.0,single_day,True,4.0,accepted,,manual_first_pass
1249,Day 9 - Reo delivery first thing,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 5 ~ 1,400m2",reo delivery first thing,1,1,4,high,four_asset_activity,2,forklift,0.7,support,2.0,single_day,forklift,0.7,medium,support,2.0,single_day,True,2.0,accepted,,manual_first_pass
1249,Day 9 - Reo delivery first thing,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 5 ~ 1,400m2",reo delivery first thing,1,1,4,high,four_asset_activity,3,crane,0.35,support,2.0,single_day,crane,0.35,low,support,2.0,single_day,True,2.0,accepted,,manual_first_pass
1249,Day 9 - Reo delivery first thing,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 5 ~ 1,400m2",reo delivery first thing,1,1,4,high,four_asset_activity,4,telehandler,0.3,incidental,1.0,single_day,telehandler,0.3,low,incidental,1.0,single_day,True,1.0,accepted,,manual_first_pass
1252,Day 9 - Continue shelf angle and sealing deck (2 men),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 5 ~ 1,400m2",continue shelf angle and sealing deck,1,1,2,high,multi_lead_activity,1,ewp,0.7,lead,5.0,single_day,ewp,0.7,medium,lead,5.0,single_day,True,5.0,accepted,,manual_first_pass
1252,Day 9 - Continue shelf angle and sealing deck (2 men),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 5 ~ 1,400m2",continue shelf angle and sealing deck,1,1,2,high,multi_lead_activity,2,crane,0.65,lead,2.5,single_day,crane,0.65,medium,lead,2.5,single_day,True,2.5,accepted,,manual_first_pass
1255,"Day 10 - Complete shelf angle and sealing deck, and pre pour works (6 men)","ON SITE WORKS > SUPERSTRUCTURE > LEVEL 5 ~ 1,400m2","complete shelf angle and sealing deck, and pre pour works",1,1,2,high,multi_lead_activity,1,ewp,0.7,lead,5.0,single_day,ewp,0.7,medium,lead,5.0,single_day,True,5.0,accepted,,manual_first_pass
1255,"Day 10 - Complete shelf angle and sealing deck, and pre pour works (6 men)","ON SITE WORKS > SUPERSTRUCTURE > LEVEL 5 ~ 1,400m2","complete shelf angle and sealing deck, and pre pour works",1,1,2,high,multi_lead_activity,2,crane,0.65,lead,2.5,single_day,crane,0.65,medium,lead,2.5,single_day,True,2.5,accepted,,manual_first_pass
1258,"Day 11 - Slab pour, pour 1","ON SITE WORKS > SUPERSTRUCTURE > LEVEL 5 ~ 1,400m2","slab pour, pour",1,1,2,high,,1,concrete_pump,0.95,lead,8.0,single_day,concrete_pump,0.95,high,lead,8.0,single_day,True,8.0,accepted,,manual_first_pass
1258,"Day 11 - Slab pour, pour 1","ON SITE WORKS > SUPERSTRUCTURE > LEVEL 5 ~ 1,400m2","slab pour, pour",1,1,2,high,,2,telehandler,0.2,incidental,0.5,single_day,telehandler,0.2,low,incidental,0.5,single_day,True,0.5,accepted,,manual_first_pass
1259,"Day 12 - Slab pour, pour 2","ON SITE WORKS > SUPERSTRUCTURE > LEVEL 5 ~ 1,400m2","slab pour, pour",1,1,2,high,,1,concrete_pump,0.95,lead,8.0,single_day,concrete_pump,0.95,high,lead,8.0,single_day,True,8.0,accepted,,manual_first_pass
1259,"Day 12 - Slab pour, pour 2","ON SITE WORKS > SUPERSTRUCTURE > LEVEL 5 ~ 1,400m2","slab pour, pour",1,1,2,high,,2,telehandler,0.2,incidental,0.5,single_day,telehandler,0.2,low,incidental,0.5,single_day,True,0.5,accepted,,manual_first_pass
1270,Day 3 - Pour columns to pour 1,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 6 ~ 1,400m2",pour columns to pour,1,1,2,high,,1,concrete_pump,0.95,lead,8.0,single_day,concrete_pump,0.95,high,lead,8.0,single_day,True,8.0,accepted,,manual_first_pass
1270,Day 3 - Pour columns to pour 1,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 6 ~ 1,400m2",pour columns to pour,1,1,2,high,,2,telehandler,0.2,incidental,0.5,single_day,telehandler,0.2,low,incidental,0.5,single_day,True,0.5,accepted,,manual_first_pass
1276,Day 5 - Pour columns pour 2,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 6 ~ 1,400m2",pour columns pour,1,1,2,high,,1,concrete_pump,0.95,lead,8.0,single_day,concrete_pump,0.95,high,lead,8.0,single_day,True,8.0,accepted,,manual_first_pass
1276,Day 5 - Pour columns pour 2,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 6 ~ 1,400m2",pour columns pour,1,1,2,high,,2,telehandler,0.2,incidental,0.5,single_day,telehandler,0.2,low,incidental,0.5,single_day,True,0.5,accepted,,manual_first_pass
1278,"Day 5 - Dog box works, caulking panels","ON SITE WORKS > SUPERSTRUCTURE > LEVEL 6 ~ 1,400m2","dog box works, caulking panels",1,1,2,high,multi_lead_activity,1,ewp,0.7,lead,5.0,single_day,ewp,0.7,medium,lead,5.0,single_day,True,5.0,accepted,,manual_first_pass
1278,"Day 5 - Dog box works, caulking panels","ON SITE WORKS > SUPERSTRUCTURE > LEVEL 6 ~ 1,400m2","dog box works, caulking panels",1,1,2,high,multi_lead_activity,2,crane,0.65,lead,2.5,single_day,crane,0.65,medium,lead,2.5,single_day,True,2.5,accepted,,manual_first_pass
1280,Day 6 - Complete dog box works – caulking panels,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 6 ~ 1,400m2",complete dog box works – caulking panels,1,1,2,high,multi_lead_activity,1,ewp,0.7,lead,5.0,single_day,ewp,0.7,medium,lead,5.0,single_day,True,5.0,accepted,,manual_first_pass
1280,Day 6 - Complete dog box works – caulking panels,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 6 ~ 1,400m2",complete dog box works – caulking panels,1,1,2,high,multi_lead_activity,2,crane,0.65,lead,2.5,single_day,crane,0.65,medium,lead,2.5,single_day,True,2.5,accepted,,manual_first_pass
1282,Day 6 - Complete levelling pour 1,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 6 ~ 1,400m2",complete levelling pour,1,1,2,high,,1,concrete_pump,0.95,lead,8.0,single_day,concrete_pump,0.95,high,lead,8.0,single_day,True,8.0,accepted,,manual_first_pass
1282,Day 6 - Complete levelling pour 1,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 6 ~ 1,400m2",complete levelling pour,1,1,2,high,,2,telehandler,0.2,incidental,0.5,single_day,telehandler,0.2,low,incidental,0.5,single_day,True,0.5,accepted,,manual_first_pass
1284,Day 7 - Complete levelling pour 2 (2 men),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 6 ~ 1,400m2",complete levelling pour,1,1,2,high,,1,concrete_pump,0.95,lead,8.0,single_day,concrete_pump,0.95,high,lead,8.0,single_day,True,8.0,accepted,,manual_first_pass
1284,Day 7 - Complete levelling pour 2 (2 men),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 6 ~ 1,400m2",complete levelling pour,1,1,2,high,,2,telehandler,0.2,incidental,0.5,single_day,telehandler,0.2,low,incidental,0.5,single_day,True,0.5,accepted,,manual_first_pass
1286,Day 8 - Commence shelf angle and sealing deck (2 men),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 6 ~ 1,400m2",commence shelf angle and sealing deck,1,1,2,high,multi_lead_activity,1,ewp,0.7,lead,5.0,single_day,ewp,0.7,medium,lead,5.0,single_day,True,5.0,accepted,,manual_first_pass
1286,Day 8 - Commence shelf angle and sealing deck (2 men),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 6 ~ 1,400m2",commence shelf angle and sealing deck,1,1,2,high,multi_lead_activity,2,crane,0.65,lead,2.5,single_day,crane,0.65,medium,lead,2.5,single_day,True,2.5,accepted,,manual_first_pass
1288,Day 9 - Reo delivery first thing,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 6 ~ 1,400m2",reo delivery first thing,1,1,4,high,four_asset_activity,1,loading_bay,0.85,lead,4.0,single_day,loading_bay,0.85,high,lead,4.0,single_day,True,4.0,accepted,,manual_first_pass
1288,Day 9 - Reo delivery first thing,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 6 ~ 1,400m2",reo delivery first thing,1,1,4,high,four_asset_activity,2,forklift,0.7,support,2.0,single_day,forklift,0.7,medium,support,2.0,single_day,True,2.0,accepted,,manual_first_pass
1288,Day 9 - Reo delivery first thing,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 6 ~ 1,400m2",reo delivery first thing,1,1,4,high,four_asset_activity,3,crane,0.35,support,2.0,single_day,crane,0.35,low,support,2.0,single_day,True,2.0,accepted,,manual_first_pass
1288,Day 9 - Reo delivery first thing,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 6 ~ 1,400m2",reo delivery first thing,1,1,4,high,four_asset_activity,4,telehandler,0.3,incidental,1.0,single_day,telehandler,0.3,low,incidental,1.0,single_day,True,1.0,accepted,,manual_first_pass
1291,Day 9 - Continue shelf angle and sealing deck (2 men),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 6 ~ 1,400m2",continue shelf angle and sealing deck,1,1,2,high,multi_lead_activity,1,ewp,0.7,lead,5.0,single_day,ewp,0.7,medium,lead,5.0,single_day,True,5.0,accepted,,manual_first_pass
1291,Day 9 - Continue shelf angle and sealing deck (2 men),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 6 ~ 1,400m2",continue shelf angle and sealing deck,1,1,2,high,multi_lead_activity,2,crane,0.65,lead,2.5,single_day,crane,0.65,medium,lead,2.5,single_day,True,2.5,accepted,,manual_first_pass
1294,"Day 10 - Complete shelf angle and sealing deck, and pre pour works (6 men)","ON SITE WORKS > SUPERSTRUCTURE > LEVEL 6 ~ 1,400m2","complete shelf angle and sealing deck, and pre pour works",1,1,2,high,multi_lead_activity,1,ewp,0.7,lead,5.0,single_day,ewp,0.7,medium,lead,5.0,single_day,True,5.0,accepted,,manual_first_pass
1294,"Day 10 - Complete shelf angle and sealing deck, and pre pour works (6 men)","ON SITE WORKS > SUPERSTRUCTURE > LEVEL 6 ~ 1,400m2","complete shelf angle and sealing deck, and pre pour works",1,1,2,high,multi_lead_activity,2,crane,0.65,lead,2.5,single_day,crane,0.65,medium,lead,2.5,single_day,True,2.5,accepted,,manual_first_pass
1297,"Day 11 - Slab pour, pour 1","ON SITE WORKS > SUPERSTRUCTURE > LEVEL 6 ~ 1,400m2","slab pour, pour",1,1,2,high,,1,concrete_pump,0.95,lead,8.0,single_day,concrete_pump,0.95,high,lead,8.0,single_day,True,8.0,accepted,,manual_first_pass
1297,"Day 11 - Slab pour, pour 1","ON SITE WORKS > SUPERSTRUCTURE > LEVEL 6 ~ 1,400m2","slab pour, pour",1,1,2,high,,2,telehandler,0.2,incidental,0.5,single_day,telehandler,0.2,low,incidental,0.5,single_day,True,0.5,accepted,,manual_first_pass
1298,Day 12 - Strip Slab Edging and prepare for Pour 2,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 6 ~ 1,400m2",strip slab edging and prepare for pour,1,1,2,high,,1,telehandler,0.3,lead,1.5,single_day,telehandler,0.3,low,lead,1.5,single_day,True,1.5,accepted,,manual_first_pass
1298,Day 12 - Strip Slab Edging and prepare for Pour 2,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 6 ~ 1,400m2",strip slab edging and prepare for pour,1,1,2,high,,2,forklift,0.25,incidental,0.5,single_day,forklift,0.25,low,incidental,0.5,single_day,True,0.5,accepted,,manual_first_pass
1299,"Day 13 - Slab pour, pour 2","ON SITE WORKS > SUPERSTRUCTURE > LEVEL 6 ~ 1,400m2","slab pour, pour",1,1,2,high,,1,concrete_pump,0.95,lead,8.0,single_day,concrete_pump,0.95,high,lead,8.0,single_day,True,8.0,accepted,,manual_first_pass
1299,"Day 13 - Slab pour, pour 2","ON SITE WORKS > SUPERSTRUCTURE > LEVEL 6 ~ 1,400m2","slab pour, pour",1,1,2,high,,2,telehandler,0.2,incidental,0.5,single_day,telehandler,0.2,low,incidental,0.5,single_day,True,0.5,accepted,,manual_first_pass
1310,Day 3 - Pour columns to pour 1,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 7 ~ 1,400m2",pour columns to pour,1,1,2,high,,1,concrete_pump,0.95,lead,8.0,single_day,concrete_pump,0.95,high,lead,8.0,single_day,True,8.0,accepted,,manual_first_pass
1310,Day 3 - Pour columns to pour 1,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 7 ~ 1,400m2",pour columns to pour,1,1,2,high,,2,telehandler,0.2,incidental,0.5,single_day,telehandler,0.2,low,incidental,0.5,single_day,True,0.5,accepted,,manual_first_pass
1316,Day 5 - Pour columns pour 2,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 7 ~ 1,400m2",pour columns pour,1,1,2,high,,1,concrete_pump,0.95,lead,8.0,single_day,concrete_pump,0.95,high,lead,8.0,single_day,True,8.0,accepted,,manual_first_pass
1316,Day 5 - Pour columns pour 2,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 7 ~ 1,400m2",pour columns pour,1,1,2,high,,2,telehandler,0.2,incidental,0.5,single_day,telehandler,0.2,low,incidental,0.5,single_day,True,0.5,accepted,,manual_first_pass
